Year,Engine_Size,Mileage,Doors,Owner_Count,Fuel_Electric,Fuel_Hybrid,Fuel_Petrol,Trans_Manual,Trans_Semi-Automatic
2020,4.2,289944,3,5,0,0,0,1,0
2012,2.0,5356,2,3,0,1,0,0,0
2020,4.2,231440,4,2,0,0,0,0,0
2023,2.0,160971,2,1,1,0,0,1,0
2003,2.6,286618,3,3,0,1,0,0,1
2007,2.7,157889,4,4,0,0,1,0,0
2010,3.4,139584,3,1,1,0,0,0,0
2001,4.7,157495,2,2,1,0,0,0,1
2014,2.6,98700,3,4,0,1,0,1,0
2005,3.1,107724,2,5,0,0,1,1,0
2013,1.3,296824,2,3,0,1,0,0,0
2009,4.5,42795,4,3,0,1,0,1,0
2007,4.8,132875,3,4,0,1,0,0,0
2004,2.3,188996,2,1,0,1,0,0,1
2003,2.4,145921,5,2,0,0,1,0,0
2007,3.2,60103,2,1,0,0,0,0,0
2017,2.9,38133,5,2,1,0,0,0,0
2006,4.5,41161,2,2,1,0,0,1,0
2000,3.4,257427,3,3,0,0,0,0,1
2021,1.5,34640,2,1,0,0,1,1,0
2018,1.8,21261,2,1,0,1,0,0,0
2000,4.6,41814,2,2,0,1,0,0,1
2003,2.0,136662,5,4,1,0,0,1,0
2006,2.8,99921,4,2,0,1,0,1,0
2016,3.9,19868,3,4,0,0,1,0,1
2011,1.8,92188,2,4,0,0,0,0,0
2022,3.3,79350,5,3,1,0,0,1,0
2017,2.3,142701,5,3,1,0,0,0,1
2020,4.7,210767,3,3,1,0,0,0,1
2013,1.9,121816,4,4,0,1,0,0,0
2007,3.9,213643,4,5,1,0,0,0,0
2008,3.5,88381,3,1,1,0,0,1,0
2017,2.3,183619,5,1,0,0,1,0,0
2013,3.3,80184,3,5,1,0,0,0,1
2010,3.2,132454,4,4,0,0,0,0,0
2005,4.5,18590,2,5,0,0,1,1,0
2013,3.5,263411,4,1,0,1,0,0,1
2000,1.4,167050,5,4,1,0,0,1,0
2017,2.2,277363,2,4,0,1,0,1,0
2004,1.0,94415,2,1,0,0,1,1,0
2004,1.2,93645,3,3,1,0,0,1,0
2007,4.9,120491,2,1,0,0,1,1,0
2000,3.9,56020,2,4,0,1,0,1,0
2003,3.9,131868,5,3,1,0,0,0,0
2023,3.6,238306,5,2,1,0,0,1,0
2011,2.3,255372,5,5,0,0,0,0,0
2009,2.4,263797,2,5,0,0,0,1,0
2006,2.8,110280,3,3,1,0,0,1,0
2009,1.2,111448,5,1,1,0,0,0,0
2013,1.9,205005,2,2,0,0,1,1,0
2004,4.9,175273,3,5,0,0,1,0,1
2022,3.8,191466,3,2,0,0,0,1,0
2008,1.8,280713,3,1,1,0,0,0,1
2015,2.6,66777,5,1,1,0,0,0,1
2020,3.2,88070,3,5,1,0,0,1,0
2011,2.9,281020,3,5,1,0,0,0,1
2017,1.8,22175,2,2,0,0,0,0,1
2003,2.0,287728,3,3,1,0,0,1,0
2007,3.6,102907,3,3,1,0,0,0,0
2005,2.4,60316,2,5,0,0,1,0,0
2008,1.3,188097,2,2,0,0,1,0,0
2004,4.0,85348,3,3,0,0,0,0,0
2015,4.8,100603,4,2,1,0,0,0,0
2007,2.7,147310,5,2,0,1,0,1,0
2011,4.0,140263,4,5,0,0,0,1,0
2005,3.2,155550,5,4,1,0,0,0,1
2000,4.0,237232,4,5,0,1,0,1,0
2002,4.0,272351,3,3,0,1,0,0,1
2008,4.6,164879,2,4,0,0,1,1,0
2018,2.8,160349,4,3,0,0,1,1,0
2007,1.5,30793,5,1,0,0,0,1,0
2019,1.9,6745,2,1,1,0,0,0,0
2007,4.9,23217,2,4,0,1,0,1,0
2017,2.7,242456,2,5,0,1,0,0,0
2017,1.3,152123,5,5,0,1,0,0,0
2022,3.4,248894,5,2,0,0,0,0,0
2007,2.3,76458,3,5,1,0,0,1,0
2017,3.9,2020,3,2,0,1,0,0,1
2018,2.0,121567,4,4,0,1,0,0,0
2023,3.5,139477,2,5,0,0,1,0,1
2007,4.5,53088,3,2,1,0,0,1,0
2020,1.7,195565,2,5,0,0,1,0,0
2004,4.8,141850,3,2,0,1,0,0,1
2020,4.6,191397,3,4,0,0,1,1,0
2015,1.6,259533,2,4,1,0,0,1,0
2015,4.1,197249,3,1,0,0,1,0,0
2007,3.8,272609,4,5,1,0,0,1,0
2013,1.1,294516,4,1,0,0,0,1,0
2001,2.9,258813,4,5,0,0,0,1,0
2014,4.1,17100,5,5,0,0,1,0,0
2017,4.6,197307,3,1,0,0,0,1,0
2007,4.2,129851,3,4,0,0,1,0,0
2011,1.8,261247,3,4,0,0,0,0,1
2016,2.5,121855,5,5,1,0,0,0,1
2011,2.6,107928,4,2,0,0,1,1,0
2011,4.7,203960,5,3,0,0,1,0,0
2009,3.0,17260,5,5,1,0,0,1,0
2022,3.8,275109,2,5,1,0,0,0,1
2016,2.8,203314,3,3,0,1,0,0,1
2014,2.8,190214,5,2,0,1,0,0,0
2013,5.0,188195,5,3,1,0,0,0,0
2010,2.0,228204,3,4,0,1,0,1,0
2001,2.3,66264,2,1,0,0,0,0,1
2022,4.5,162696,4,2,1,0,0,0,1
2005,2.2,191462,2,4,0,0,0,1,0
2001,4.0,8958,5,1,0,0,0,1,0
2012,2.6,11213,5,5,0,1,0,1,0
2003,3.8,236022,3,2,1,0,0,0,1
2019,3.9,13333,5,1,0,1,0,0,1
2023,4.6,274137,2,3,1,0,0,0,1
2010,3.4,8662,4,3,0,0,0,1,0
2018,2.3,99243,3,3,1,0,0,0,1
2013,3.5,167809,2,3,0,1,0,0,1
2018,3.0,180938,4,3,0,1,0,0,1
2018,4.0,66347,3,2,0,0,1,1,0
2007,1.4,279031,5,3,0,0,1,1,0
2013,2.8,63430,4,5,0,0,1,1,0
2014,2.1,191744,5,1,0,0,1,1,0
2023,3.9,58107,3,2,0,1,0,0,1
2002,4.5,86763,2,5,0,0,0,1,0
2020,3.8,257521,3,3,0,0,0,0,0
2013,4.0,213052,4,4,0,0,0,1,0
2017,1.9,117943,2,4,0,0,1,0,1
2008,4.5,178837,3,4,1,0,0,0,1
2002,3.9,281616,2,3,0,0,0,0,1
2013,1.4,131485,3,5,0,0,0,0,0
2013,3.9,21399,5,3,1,0,0,1,0
2020,3.7,148489,3,5,0,0,1,0,1
2017,3.1,189399,5,4,1,0,0,1,0
2008,3.5,179107,2,3,0,0,1,0,1
2015,4.7,220366,5,1,0,0,0,1,0
2020,4.7,132200,2,1,0,0,1,1,0
2009,1.8,151249,4,1,0,0,0,0,0
2009,2.0,184695,5,1,0,0,1,1,0
2001,4.1,32602,3,4,0,0,1,0,0
2013,3.2,253611,2,4,1,0,0,1,0
2020,4.3,187223,5,3,0,1,0,1,0
2004,3.0,232438,3,3,0,1,0,1,0
2019,4.7,114139,5,4,0,0,1,1,0
2004,1.3,79437,4,4,1,0,0,0,0
2019,2.2,127801,5,5,0,0,0,1,0
2002,1.5,23115,2,1,0,0,1,0,0
2010,3.9,26930,3,3,0,0,1,0,0
2021,2.1,289967,4,3,0,0,1,1,0
2001,3.2,42064,2,3,0,0,1,1,0
2018,3.5,233614,4,2,1,0,0,1,0
2023,4.1,67072,4,3,1,0,0,0,0
2017,2.5,256380,2,1,1,0,0,1,0
2010,1.9,159546,2,4,0,0,1,0,1
2014,3.8,5877,5,5,1,0,0,0,1
2002,4.9,33244,2,2,0,1,0,0,0
2013,4.8,206381,4,4,0,0,1,1,0
2016,4.0,175833,3,5,0,0,0,0,0
2005,3.6,157073,2,1,0,0,1,0,1
2015,2.9,131766,2,3,1,0,0,0,0
2001,2.2,18630,3,5,0,0,1,1,0
2015,2.1,54522,3,5,0,0,0,0,0
2013,1.4,231290,3,3,1,0,0,0,1
2000,3.7,166776,2,2,1,0,0,1,0
2002,4.0,16302,5,2,0,0,0,1,0
2015,2.9,252824,3,1,0,1,0,0,1
2007,1.2,269614,3,4,0,1,0,0,0
2000,2.8,264697,2,5,1,0,0,0,1
2014,4.0,287926,5,2,0,0,1,1,0
2001,1.8,43196,5,2,0,0,1,0,0
2001,4.5,279971,3,1,0,0,0,0,1
2009,1.0,286745,2,5,0,0,1,1,0
